D001884	Bordetella	B03.440.400.425.115.425,B03.660.075.090.344.425	517
D001886	Bordetella pertussis	B03.440.400.425.115.425.600,B03.660.075.090.344.425.600	520
D001891	Borna disease virus	B04.820.480.937.149.135	12455
D001898	Borrelia	B03.440.425.410.711.193,B03.851.595.193	138
D001909	Leukemia Virus, Bovine	B04.613.807.200.600,B04.820.650.200.600	11901
D001911	Herpesvirus 2, Bovine	B04.280.382.100.750.200	10295
D001936	Moraxella catarrhalis	B03.440.400.425.537.525.200,B03.660.250.530.525.200	480
D001937	Brassica	B01.875.800.575.912.250.157.200	3705
D001951	Brevibacterium	B03.510.024.175,B03.510.460.400.400.049.550	1696
D002002	Brucella	B03.440.400.425.215.500,B03.660.050.070.100	234
D002003	Brucella abortus	B03.440.400.425.215.500.100,B03.660.050.070.100.100	235
D002009	Brugia	B01.050.500.500.294.400.937.463.088	6278
D002013	Bryozoa	B01.050.500.217	10205
D002022	Bufo arenarum	B01.050.150.900.090.180.210.080	38577
D002023	Bufo bufo	B01.050.150.900.090.180.210.108	8384
D002024	Bufo marinus	B01.050.150.900.090.180.210.580	8386
D002025	Bufonidae	B01.050.150.900.090.180.210	8382
D002033	Bulinus	B01.050.500.644.400.750.323	157969
D002042	Bunyamwera virus	B04.820.480.750.640.147	35304
D002043	Bunyaviridae	B04.820.480.750	1980416
D002080	Butterflies	B01.050.500.131.617.720.500.500.937.200	37572
D002099	Cacao	B01.875.800.575.912.250.859.821.500.164	3641
D002107	Caenorhabditis	B01.050.500.500.294.400.875.660.250	6237
D002139	Caliciviridae	B04.820.578.298	11974
